fitofisionomia;parcela;bandeja;coleta;especie;peso;
FAAC;faperj1.2;1;dez/22;Ocotea notata;2.58;x
FAAC;faperj1.2;1;dez/22;"""Eugenia rigida""";1.4;
FAAC;faperj1.2;1;dez/22;Galhos;1.07;
FAAC;faperj1.2;1;dez/22;Miscelanea;0.3;
FAAC;faperj1.2;1;dez/22;Neomitrantes obscura;0.13;
FAAC;faperj1.2;1;dez/22;Clusia hilariana;1.06;
FAAC;faperj1.2;2;dez/22;Ternostroemia brasiliensis;1.11;
FAAC;faperj1.2;2;dez/22;Galhos;0.37;
FAAC;faperj1.2;2;dez/22;"""Cromada""";0.26;
FAAC;faperj1.2;2;dez/22;Protium icicariba;0.26;
FAAC;faperj1.2;2;dez/22;Ocotea notata;0.32;
FAAC;faperj1.2;3;dez/22;Neomitrantes obscura;6.24;
FAAC;faperj1.2;3;dez/22;Miscelanea;0.42;
FAAC;faperj1.2;3;dez/22;Estrutura reprodutiva;0.15;
FAAC;faperj1.2;3;dez/22;Smilax rufescens;0.29;
FAAC;faperj1.2;3;dez/22;Galhos;0.41;
FAAC;faperj1.2;3;dez/22;Ocotea notata;0.01;
FAAC;faperj1.2;3;dez/22;Clusia hilariana;3.88;
FAAC;faperj1.2;3;dez/22;Paulinea weinmanifolia;0.07;
FAAC;faperj4.2;1;dez/22;Ternostroemia brasiliensis;6.44;x
FAAC;faperj4.2;1;dez/22;Clusia hilariana;1.23;
FAAC;faperj4.2;1;dez/22;Capparis flexuosa;0.45;
FAAC;faperj4.2;1;dez/22;Amaioua Pilosa;0.06;
FAAC;faperj4.2;1;dez/22;Miscelanea;0.6;
FAAC;faperj4.2;1;dez/22;Galhos;1.72;
FAAC;faperj4.2;2;dez/22;"""Eugenia rigida""";0.19;
FAAC;faperj4.2;2;dez/22;Estrutura reprodutiva;1.16;
FAAC;faperj4.2;2;dez/22;Galhos;0.51;
FAAC;faperj4.2;2;dez/22;Ternostroemia brasiliensis;0.06;
FAAC;faperj4.2;2;dez/22;"""B esmaltada""";0.69;
FAAC;faperj4.2;2;dez/22;Miscelanea;0.75;
FAAC;faperj4.2;3;dez/22;Miscelanea;0.29;
FAAC;faperj4.2;3;dez/22;Clusia hilariana;0.36;
FAAC;faperj4.2;3;dez/22;Ternostroemia brasiliensis;12.24;
FAAC;faperj4.2;3;dez/22;"""Quase Clusia""";0.44;
MPI;faperj6;1;dez/22;Clusia hilariana;6.7;x
MPI;faperj6;1;dez/22;Ocotea notata;0.15;
MPI;faperj6;1;dez/22;Paulinea weinmanifolia;0.13;
MPI;faperj6;1;dez/22;Galhos;0.21;
MPI;faperj6;1;dez/22;Miscelanea;0.19;
MPI;faperj6;2;dez/22;Clusia hilariana;8.93;
MPI;faperj6;2;dez/22;Estrutura reprodutiva;0.12;
MPI;faperj6;2;dez/22;Neomitrantes obscura;0.05;
MPI;faperj6;2;dez/22;Galhos;0.22;
MPI;faperj6;3;dez/22;Estrutura reprodutiva;0.17;
MPI;faperj6;3;dez/22;Clusia hilariana;7.95;
FAAC;faperj8.2;1;dez/22;Clusia hilariana;2.74;x
FAAC;faperj8.2;1;dez/22;Ocotea notata;0.11;
FAAC;faperj8.2;1;dez/22;Galhos;0.12;
FAAC;faperj8.2;1;dez/22;Miscelanea;0.22;
FAAC;faperj8.2;1;dez/22;Estrutura reprodutiva;1.96;
FAAC;faperj8.2;2;dez/22;Galhos;0.13;
FAAC;faperj8.2;2;dez/22;Clusia hilariana;1.29;
FAAC;faperj8.2;2;dez/22;Estrutura reprodutiva;0.26;
FAAC;faperj8.2;2;dez/22;Ocotea notata;0.03;
FAAC;faperj8.2;2;dez/22;Erytroxylum ovalifolium;0.56;
FAAC;faperj8.2;2;dez/22;Finissima;0.08;
FAAC;faperj8.2;3;dez/22;Erytroxylum ovalifolium;0.12;
FAAC;faperj8.2;3;dez/22;Ocotea notata;0.69;
FAAC;faperj8.2;3;dez/22;Galhos;1.64;
FAAC;faperj8.2;3;dez/22;Estrutura reprodutiva;0.09;
FAAC;faperj8.2;3;dez/22;Clusia hilariana;2.71;
FAAC;faperj8.2;3;dez/22;Miscelanea;0.07;
FAAC;faperj9;1;dez/22;Coccoloba arborecens;0.29;x
FAAC;faperj9;1;dez/22;Agarista revoluta;0.3;
FAAC;faperj9;1;dez/22;Ocotea notata;0.25;
FAAC;faperj9;1;dez/22;Protium icicariba;0.09;
FAAC;faperj9;1;dez/22;Amaioua Pilosa;0.1;
FAAC;faperj9;2;dez/22;Clusia hilariana;4.83;
FAAC;faperj9;2;dez/22;Galhos;0.27;
FAAC;faperj9;2;dez/22;Estrutura reprodutiva;0.25;
FAAC;faperj9;2;dez/22;Miscelanea;0.4;
FAAC;faperj9;2;dez/22;Agarista revoluta;0.16;
FAAC;faperj9;3;dez/22;Clusia hilariana;3.07;
FAAC;faperj9;3;dez/22;Humiria balsamifera;0.01;
FAAC;faperj9;3;dez/22;Protium icicariba;0.42;
FAAC;faperj9;3;dez/22;Coccoloba arborecens;0.42;
FAAC;faperj9;3;dez/22;Galhos;1.55;
FAAC;faperj9;3;dez/22;Miscelanea;0.83;
MPI;faperj10;1;dez/22;Humiria balsamifera;0.92;x
MPI;faperj10;1;dez/22;"""Cromada""";0.34;
MPI;faperj10;1;dez/22;Smilax rufescens;1.77;
MPI;faperj10;2;dez/22;Galhos;0.18;
MPI;faperj10;2;dez/22;Chioccoca alba;0.26;
MPI;faperj10;2;dez/22;Protium icicariba;0.42;
MPI;faperj10;2;dez/22;Paulinea weinmanifolia;0.33;
MPI;faperj10;2;dez/22;"""Cromada""";0.48;
MPI;faperj10;2;dez/22;Estrutura reprodutiva;0.77;
MPI;faperj10;2;dez/22;Ocotea notata;0.74;
MPI;faperj10;3;dez/22;Galhos;0.57;
MPI;faperj10;3;dez/22;Paulinea weinmanifolia;0.06;
MPI;faperj10;3;dez/22;"""Myrtacea 1""";0.14;
MPI;faperj10;3;dez/22;Ternostroemia brasiliensis;0.21;
MPI;faperj10;3;dez/22;Ocotea notata;0.96;
MPI;faperj10;3;dez/22;"""Cromada""";0.39;
MPI;faperj10;3;dez/22;Protium icicariba;0.14;
MPI;faperj10;3;dez/22;Clusia hilariana;1.77;
FAAE;faperj11;1;dez/22;Humiria balsamifera;0.76;x
FAAE;faperj11;1;dez/22;Estrutura reprodutiva;2.52;
FAAE;faperj11;1;dez/22;Agarista revoluta;0.04;
FAAE;faperj11;1;dez/22;Galhos;0.53;
FAAE;faperj11;1;dez/22;Smilax rufescens;0.8;
FAAE;faperj11;1;dez/22;Ternostroemia brasiliensis;2.02;
FAAE;faperj11;2;dez/22;Estrutura reprodutiva;0.02;
FAAE;faperj11;2;dez/22;Galhos;0.53;
FAAE;faperj11;2;dez/22;Coccoloba arborescens;1.43;
FAAE;faperj11;2;dez/22;Smilax rufescens;0.76;
FAAE;faperj11;2;dez/22;Humiria balsamifera;0.41;
FAAE;faperj11;2;dez/22;Ternostroemia brasiliensis;0.29;
FAAE;faperj11;2;dez/22;Clusia hilariana;2.4;
FAAE;faperj11;3;dez/22;Coccoloba arborescens;3.62;
FAAE;faperj11;3;dez/22;Humiria balsamifera;0.53;
FAAE;faperj11;3;dez/22;Estrutura reprodutiva;0.41;
FAAE;faperj11;3;dez/22;Clusia hilariana;0.33;
FAAE;faperj11;3;dez/22;Galhos;0.16;
FAAE;faperj11;3;dez/22;Miscelanea;0.5;
FAAC;faperj13;1;dez/22;Ocotea notata;3.44;x
FAAC;faperj13;1;dez/22;Clusia hilariana;1.49;
FAAC;faperj13;1;dez/22;Galhos;1.69;
FAAC;faperj13;1;dez/22;Agarista revoluta;0.05;
FAAC;faperj13;1;dez/22;Miscelanea;0.85;
FAAC;faperj13;2;dez/22;Clusia hilariana;15.27;
FAAC;faperj13;2;dez/22;Estrutura reprodutiva;0.5;
FAAC;faperj13;2;dez/22;Ocotea notata;0.47;
FAAC;faperj13;2;dez/22;Galhos;9.51;
FAAC;faperj13;2;dez/22;Agarista revoluta;0.22;
FAAC;faperj13;3;dez/22;Galhos;0.09;
FAAC;faperj13;3;dez/22;Clusia hilariana;2.55;
FAAC;faperj13;3;dez/22;Ocotea notata;0.9;
FAAC;faperj13;3;dez/22;Protium icicariba;0.19;
FAAC;faperj13;3;dez/22;Miscelanea;0.27;
FPP;faperj15;1;dez/22;Ternostroemia brasiliensis;0.46;x
FPP;faperj15;1;dez/22;Galhos;1.49;
FPP;faperj15;1;dez/22;"""Myrtacea sp1""";0.11;
FPP;faperj15;1;dez/22;Miscelanea;0.44;
FPP;faperj15;1;dez/22;"""Alongada serrilhada""";0.58;
FPP;faperj15;1;dez/22;Estrutura reprodutiva;1.41;
FPP;faperj15;1;dez/22;Calyptrantes brasiliensis;0.31;
FPP;faperj15;2;dez/22;"""Myrtacea sp1""";0.16;
FPP;faperj15;2;dez/22;Estrutura reprodutiva;1.18;
FPP;faperj15;2;dez/22;Galhos;0.62;
FPP;faperj15;2;dez/22;Miscelanea;0.24;
FPP;faperj15;3;dez/22;Ternostroemia brasiliensis;0.05;
FPP;faperj15;3;dez/22;Estrutura reprodutiva;0.83;
FPP;faperj15;3;dez/22;"""Alongada serrilhada""";0.21;
